Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
Streethex,N6H58J55,Anna Snelling,Lost,GTX Basic,2/15/17,5/13/17,0
,W24IDMVV,Corliss Cosme,In Progress,GTX Plus Pro,2/15/17,,
Streethex,WR6Q2X53,Darcel Schlecht,Lost,GTX Plus Pro,2/15/17,5/8/17,0
Bluth Company,8O1WNJBA,Garret Kinder,Lost,GTX Basic,2/15/17,3/23/17,0
Ontomedia,X1LAD57Y,Garret Kinder,Lost,GTX Plus Pro,2/15/17,3/4/17,0
Ganjaflex,E2NXQUWO,Garret Kinder,Won,MG Advanced,2/15/17,3/6/17,3507
Fasehatice,MEZLJGRB,James Ascencio,Lost,GTX Basic,2/15/17,5/20/17,0
Green-Plus,M1QKPX6R,James Ascencio,Won,GTXPro,2/15/17,5/21/17,4542
Globex Corporation,X6LO8WPD,Jonathan Berthelot,Won,GTX Basic,2/15/17,5/28/17,505
,JQA8H6M5,Kami Bicknell,In Progress,GTX Plus Pro,2/15/17,,
,92G1TO7L,Kary Hendrixson,In Progress,GTX Basic,2/15/17,,
Cheers,S8WV5MUC,Kary Hendrixson,Lost,GTX Plus Basic,2/15/17,5/7/17,0
,FW2XJG9S,Markita Hansen,In Progress,GTX Plus Basic,2/15/17,,
Sonron,R7JI95HZ,Markita Hansen,Lost,GTXPro,2/15/17,5/31/17,0
,SVCKI631,Maureen Marcano,In Progress,GTX Basic,2/15/17,,
,VJ5QGP8Z,Maureen Marcano,In Progress,MG Advanced,2/15/17,,
Genco Pura Olive Oil Company,CVKLHZEO,Moses Frase,Won,GTX Basic,2/15/17,5/13/17,455
Initech,8KJZJFJ1,Reed Clapper,Won,GTX Basic,2/15/17,3/3/17,537
Opentech,W560QFJL,Reed Clapper,Won,GTX Plus Basic,2/15/17,3/4/17,1090
Stanredtax,TA3PW6ZQ,Versie Hillebrand,Lost,MG Advanced,2/15/17,5/24/17,0
Genco Pura Olive Oil Company,2DVE0XCM,Versie Hillebrand,Won,MG Special,2/15/17,3/17/17,60
Faxquote,L3UMWAX7,Vicki Laflamme,Lost,GTX Plus Basic,2/15/17,5/17/17,0
,R2W96FGX,Zane Levy,In Progress,GTX Basic,2/15/17,,
Plussunin,VOTOT8MK,Cassey Cress,Won,GTX Plus Pro,2/16/17,6/15/17,6509
Ron-tech,Y3ULGUD8,Cecily Lampkin,Won,GTX Plus Basic,2/16/17,5/18/17,1079
Silis,7350YGG4,Corliss Cosme,Won,GTX Plus Basic,2/16/17,5/29/17,1111
Mathtouch,2J16RN99,Donn Cantrell,Lost,GTXPro,2/16/17,5/21/17,0
Donquadtech,BRQRF65L,Donn Cantrell,Won,GTX Basic,2/16/17,3/2/17,462
Xx-zobam,LB6XW39X,Donn Cantrell,Won,GTX Basic,2/16/17,3/4/17,555
Conecom,WS9CXY7E,Gladys Colclough,Won,GTX Plus Pro,2/16/17,3/1/17,6719
Faxquote,CK0MDHHM,Hayden Neloms,Won,MG Advanced,2/16/17,6/2/17,3281
,KM1D04JS,James Ascencio,In Progress,GTX Plus Basic,2/16/17,,
Kan-code,RNUH1SI8,James Ascencio,Won,MG Advanced,2/16/17,5/7/17,3398
Labdrill,BNY8MJ6L,Kary Hendrixson,In Progress,GTX Basic,2/16/17,,
,INBGKE14,Kary Hendrixson,In Progress,GTXPro,2/16/17,,
Hottechi,D54HETSI,Kary Hendrixson,Lost,GTXPro,2/16/17,5/14/17,0
Domzoom,JOQQZ5RH,Marty Freudenburg,Won,GTX Basic,2/16/17,3/1/17,608
Globex Corporation,90V75MDV,Niesha Huffines,Lost,GTXPro,2/16/17,5/17/17,0
Donquadtech,LIIBOUUQ,Reed Clapper,Won,GTX Plus Basic,2/16/17,5/30/17,1187
,5KK2SSSB,Rosie Papadopoulos,In Progress,GTX Basic,2/16/17,,
Initech,UDYSM42B,Violet Mclelland,Won,GTX Plus Pro,2/16/17,6/22/17,5855
,V3HVIJLL,Zane Levy,In Progress,GTX Basic,2/16/17,,
Cancity,F835LA4P,Darcel Schlecht,Won,GTXPro,2/17/17,5/10/17,5068
Gekko & Co,75Q82XU7,Donn Cantrell,Lost,GTX Plus Basic,2/17/17,6/13/17,0
Betasoloin,AMNKCM1H,Elease Gluck,In Progress,MG Special,2/17/17,,
J-Texon,2U6QQHCC,James Ascencio,Won,GTX Plus Pro,2/17/17,6/19/17,4066
Isdom,MMKMJ0WC,Jonathan Berthelot,Won,GTXPro,2/17/17,6/7/17,4494
Finjob,CZIXINO2,Kami Bicknell,Lost,GTX Basic,2/17/17,5/4/17,0
Nam-zim,HV7Y6184,Kami Bicknell,Lost,GTXPro,2/17/17,5/28/17,0
Plexzap,KIHC1QJQ,Kami Bicknell,Won,GTX Basic,2/17/17,5/9/17,540
Conecom,VBWQO6BM,Niesha Huffines,Lost,MG Advanced,2/17/17,5/14/17,0
Domzoom,LTZCN1RA,Versie Hillebrand,Won,MG Special,2/17/17,5/19/17,54
,84LN84VM,Vicki Laflamme,In Progress,MG Advanced,2/17/17,,
Lexiqvolax,YO32O3T9,Zane Levy,Lost,GTXPro,2/17/17,5/28/17,0
,MU7JWTP6,Cassey Cress,In Progress,MG Special,2/18/17,,
Zathunicon,8638OV6W,Corliss Cosme,Lost,MG Special,2/18/17,5/26/17,0
Hottechi,TTJXSO57,Darcel Schlecht,Lost,GTXPro,2/18/17,5/20/17,0
Betasoloin,K4VP5HK4,Donn Cantrell,Won,MG Advanced,2/18/17,5/8/17,3602
Betatech,10R46CSK,Lajuana Vencill,Won,MG Advanced,2/18/17,5/7/17,2904
Sonron,VBA34LWX,Markita Hansen,Won,GTX Basic,2/18/17,5/31/17,571
Genco Pura Olive Oil Company,DLJN7WG0,Marty Freudenburg,Lost,MG Special,2/18/17,5/30/17,0
Zathunicon,FJCCTOPN,Reed Clapper,Won,GTX Basic,2/18/17,6/18/17,492
Zathunicon,LR6USOHL,Reed Clapper,Won,GTXPro,2/18/17,5/27/17,4545
Cancity,5VAV2TUY,Versie Hillebrand,Won,GTX Plus Pro,2/18/17,3/25/17,5614
Betatech,HTD2ME9C,Anna Snelling,Won,GTX Plus Pro,2/19/17,6/12/17,5370
Zencorporation,GHUCMUPL,Boris Faz,Won,GTX Basic,2/19/17,5/2/17,550
Yearin,1LKY3B4X,Cassey Cress,Won,GTX Plus Basic,2/19/17,3/2/17,1011
Sumace,7Y5E0RDL,Corliss Cosme,Won,MG Special,2/19/17,6/18/17,56
,9HRMW8SL,Daniell Hammack,In Progress,MG Special,2/19/17,,
Codehow,BEQIZZ7W,Darcel Schlecht,Won,GTX Plus Basic,2/19/17,3/4/17,1217
Bubba Gump,44F8ZE41,Donn Cantrell,Lost,GTX Basic,2/19/17,5/19/17,0
Kan-code,YJIH415V,Donn Cantrell,Won,MG Advanced,2/19/17,5/10/17,3222
Bioplex,K3DQJ796,Garret Kinder,Lost,GTX Basic,2/19/17,5/14/17,0
Massive Dynamic,6QF3D2RI,Garret Kinder,Lost,GTX Basic,2/19/17,5/5/17,0
Opentech,G9565UWZ,Garret Kinder,Won,MG Advanced,2/19/17,3/1/17,3348
Conecom,RFKIN7FG,Jonathan Berthelot,Lost,GTX Basic,2/19/17,5/25/17,0
Faxquote,WJQ8VD51,Kami Bicknell,In Progress,GTX Basic,2/19/17,,
Newex,2BWZLXZ8,Kami Bicknell,Won,GTXPro,2/19/17,3/5/17,4216
,1WHXI2RW,Markita Hansen,In Progress,GTX Plus Basic,2/19/17,,
,G5JP0G7Q,Markita Hansen,In Progress,MG Advanced,2/19/17,,
Stanredtax,2QHRL8CW,Moses Frase,Won,GTX Basic,2/19/17,5/28/17,404
Initech,RFYAI0WA,Rosie Papadopoulos,Lost,GTX Plus Pro,2/19/17,6/8/17,0
Zathunicon,WH0DJCGL,Rosie Papadopoulos,Lost,MG Special,2/19/17,6/14/17,0
Sumace,LCW83256,Rosie Papadopoulos,Won,GTXPro,2/19/17,3/4/17,5260
,RVH3UUKY,Vicki Laflamme,In Progress,MG Advanced,2/19/17,,
Kan-code,IHFM8QXN,Vicki Laflamme,Lost,GTX Plus Basic,2/19/17,3/7/17,0
Donquadtech,QCY951QA,Violet Mclelland,Won,MG Special,2/19/17,5/6/17,51
,CG9VXPV1,Zane Levy,In Progress,GTX Basic,2/19/17,,
Scotfind,09BVA55J,Zane Levy,Won,GTX Basic,2/19/17,6/25/17,598
Konex,2R9HXKXT,Boris Faz,Lost,GTX Plus Basic,2/20/17,5/25/17,0
Zathunicon,JLK8KCNN,Boris Faz,Won,MG Special,2/20/17,5/24/17,42
Vehement Capital Partners,SZQUBIMH,Cassey Cress,Won,GTXPro,2/20/17,6/7/17,4689
Statholdings,8ZYVKQ27,Cecily Lampkin,Won,GTX Plus Pro,2/20/17,6/26/17,5154
Gogozoom,25A51PWG,Darcel Schlecht,Lost,GTXPro,2/20/17,5/16/17,0
Zencorporation,4B4XCPHT,Donn Cantrell,Won,GTXPro,2/20/17,5/5/17,5010
Finhigh,5JFOA4XC,Gladys Colclough,Won,MG Advanced,2/20/17,6/14/17,3215
Nam-zim,N5FOEJZ9,Kami Bicknell,Lost,GTX Basic,2/20/17,6/3/17,0
Donquadtech,CYWZJ2AI,Kary Hendrixson,In Progress,GTX Plus Basic,2/20/17,,
Hatfan,QTNPGKJ7,Kary Hendrixson,Won,GTXPro,2/20/17,6/26/17,3169
Scotfind,EBRWSMI0,Markita Hansen,Lost,GTX Plus Basic,2/20/17,6/27/17,0
Funholding,4PKHDQOQ,Marty Freudenburg,Won,GTX Plus Pro,2/20/17,6/3/17,5015
Dalttechnology,3Y9SB2QK,Maureen Marcano,Won,GTX Basic,2/20/17,3/1/17,571
Bubba Gump,5MZ0O77T,Reed Clapper,Won,GTXPro,2/20/17,5/16/17,4839
Massive Dynamic,2EILEDKF,Reed Clapper,Won,MG Advanced,2/20/17,3/5/17,3315
Warephase,J4NX9TK5,Versie Hillebrand,Won,MG Special,2/20/17,5/24/17,60
,Y7N97FW8,Vicki Laflamme,In Progress,GTXPro,2/20/17,,
,0IO43YMS,Wilburn Farren,In Progress,MG Advanced,2/20/17,,
Treequote,5ITSLO0E,Anna Snelling,Won,GTX Plus Basic,2/21/17,3/4/17,999
,6HG76L6U,Boris Faz,In Progress,GTXPro,2/21/17,,
Statholdings,QGW0TI1U,Darcel Schlecht,Lost,GTX Basic,2/21/17,6/11/17,0
Finhigh,WJC5J533,Lajuana Vencill,Won,GTX Plus Pro,2/21/17,6/4/17,5401
Newex,9SLINQY5,Markita Hansen,In Progress,MG Advanced,2/21/17,,
,1GIP77EP,Maureen Marcano,In Progress,GTX Plus Pro,2/21/17,,
Rundofase,XGLMCTLG,Moses Frase,Won,GTX Basic,2/21/17,6/18/17,551
Mathtouch,X6RLT30X,Reed Clapper,Lost,GTX Plus Pro,2/21/17,5/23/17,0
Faxquote,IVT0S1N1,Vicki Laflamme,Won,GTX Basic,2/21/17,3/20/17,600
Goodsilron,NOLCZMV6,Violet Mclelland,In Progress,GTXPro,2/21/17,,
Bioplex,JEPGSQC9,Violet Mclelland,Lost,GTX Plus Pro,2/21/17,5/5/17,0
